"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,     "rms[k]"     ,     "rms[w]"     
         314,      -2.888554429,      0.3225707793,      -4.254284506,      0.2051057674
         315,      -2.756901665,      0.3571587386,      -4.230396298,      0.2289940552
         316,      -2.735824473,      0.3443148584,      -4.204263519,      0.2551267684
         317,      -2.744070145,      0.3245137954,      -4.208761358,      0.2506287787
         318,      -2.763221091,      0.2797491189,      -4.178057101,      0.2813332068
         319,      -2.819132112,      0.2205003635,      -4.127253574,      0.3321367204
         320,       -2.79968586,       0.227697543,      -4.156878062,      0.3025122587
         321,      -2.830030078,      0.2766691703,      -4.227296791,      0.2320934977
         322,      -2.778614004,      0.3060110213,       -4.19366375,      0.2657264915
         323,      -2.751047638,      0.2942412743,      -4.188676565,      0.2707135956
         324,      -2.768435963,      0.2776137434,      -4.200545915,      0.2588442937
         325,      -2.832260108,      0.2246539901,      -4.199617271,      0.2597730446
         326,      -2.915080614,      0.2572613525,      -4.246214608,      0.2131755228
         327,      -2.848718392,      0.3429371926,      -4.223766775,      0.2356233229
         328,      -2.728339654,      0.3707099893,      -4.215520922,      0.2438692017
         329,      -2.719029828,      0.3606682008,       -4.19855116,      0.2608390387
         330,      -2.724508481,      0.3572302893,      -4.227695764,      0.2316943584
         331,      -2.736461792,      0.3497974263,      -4.249424739,      0.2099653481
         332,      -2.758518559,      0.3150672857,      -4.198875657,      0.2605144941
         333,      -2.796881419,      0.2276136777,       -4.21929122,      0.2400988472
         334,      -2.936441219,      0.1314784054,      -4.316584184,      0.1428057527
         335,      -2.984225793,      0.1486611849,      -4.317883259,      0.1415068239
         336,      -2.989171831,       0.236915277,      -4.344848452,      0.1145415746
         337,      -2.903380133,      0.3352862072,      -4.208783982,      0.2506062858
         338,      -2.716350341,       0.369907752,      -4.171476743,      0.2879134551
         339,      -2.719459757,      0.3481967339,      -4.196206153,      0.2631840214
         340,      -2.758200616,      0.3001949651,      -4.216129561,      0.2432606401
         341,      -2.807407335,      0.2177663513,      -4.216772761,      0.2426174743
         342,      -2.930902554,      0.1243810613,      -4.311552824,      0.1478372158
         343,      -2.999023262,       0.172863567,      -4.343893972,      0.1154960103
         344,      -3.025552233,       0.247998464,       -4.34466923,      0.1147207906
         345,      -2.912995386,      0.3234029075,      -4.253042591,      0.2063475578
         346,      -2.735009733,      0.3635704723,      -4.209662845,      0.2497273417
         347,      -2.726981919,      0.3493991232,      -4.215767981,       0.243622298
         348,      -2.750164686,      0.3302721337,      -4.244573707,       0.214816372
         349,       -2.76296607,      0.3080906776,      -4.296435369,      0.1629547873
         350,      -2.808011039,      0.2983187678,      -4.285750354,      0.1736398748
         351,      -2.785544893,      0.3214207514,      -4.167413193,      0.2919770436
         352,      -2.725604838,      0.3123859115,      -4.114271364,      0.3451189747
         353,      -2.771463079,      0.2496392455,      -4.161800862,      0.2975894375
         354,      -2.937083883,      0.2444687274,      -4.226255402,      0.2331347867
         355,      -2.837164735,       0.319218856,      -4.182119798,      0.2772704326
         356,      -2.722287497,      0.3577315687,       -4.17669142,      0.2826988843
         357,      -2.712969724,      0.3528723786,      -4.196251005,      0.2631392673
         358,      -2.732921787,       0.348910092,      -4.209489195,       0.249901022
         359,      -2.726395272,      0.3386572851,      -4.142076918,      0.3173133443
         360,      -2.718467805,      0.3109142651,       -4.12190594,      0.3374843506
         361,      -2.739324953,      0.2727473296,       -4.14045913,      0.3189312469
         362,       -2.80683779,      0.2800124671,      -4.210252504,      0.2491377345
         363,      -2.795089513,      0.3017264761,      -4.227124082,      0.2322661661
         364,      -2.839496877,       0.246340313,      -4.293586932,      0.1658031814
         365,       -2.98276764,      0.2644602456,      -4.319983922,      0.1394060434
         366,      -2.871427229,      0.3430720361,      -4.232720929,      0.2266692267
         367,      -2.724883437,      0.3818201837,      -4.197222813,      0.2621674185
         368,      -2.703042732,       0.368056803,      -4.174561606,      0.2848286055
         369,      -2.713390384,      0.3523732661,      -4.176275901,      0.2831143115
         370,      -2.706496263,      0.3344285133,      -4.175350115,      0.2840400972
         371,      -2.725677619,      0.3062570577,       -4.16229699,      0.2970932928
         372,      -2.784536418,      0.2253304129,      -4.145420123,      0.3139701467
         373,      -2.904540573,      0.1502266856,      -4.168288384,      0.2911018331
         374,      -2.848669295,      0.2674233592,      -4.137905668,      0.3214846764
         375,      -2.763767036,      0.2929011352,      -4.067248612,      0.3921417036
         376,      -2.761977179,      0.2040480276,      -4.148270724,       0.311119576
         377,       -2.89194316,      0.2374930399,      -4.227781003,      0.2316092732
         378,      -2.801999153,      0.2701418262,      -4.164655184,       0.294735114
         379,      -2.804872674,      0.2395472249,      -4.181387363,      0.2780028389
         380,      -2.900560434,      0.2687934655,      -4.234961121,      0.2244289361
         381,      -2.844759791,      0.3300889449,      -4.213737699,      0.2456524886
         382,      -2.732228568,      0.3683579144,      -4.215300173,      0.2440901007
         383,      -2.722149788,      0.3570185826,      -4.182011048,      0.2773791971
         384,       -2.73139406,      0.3310970877,      -4.191050683,       0.268339493
         385,      -2.736088653,      0.3045312566,      -4.185335299,      0.2740549441
         386,      -2.764823386,       0.306316215,      -4.150992926,      0.3083972981
         387,      -2.736976967,       0.313862419,      -4.173816508,      0.2855737753
         388,      -2.735392946,      0.2941299109,      -4.114160615,      0.3452297415
         389,      -2.779295494,      0.2084356173,      -4.176597729,      0.2827926286
         390,      -2.951596548,      0.1980659941,      -4.271162431,       0.188227844
         391,      -2.866066156,      0.2988852368,      -4.202376916,      0.2570134423
         392,      -2.756701822,      0.3122968829,      -4.189241313,      0.2701489946
